Liver,Muscle,Egg,Other,id
True,False,False,False,NS00021624
True,False,False,False,NS00086214
True,True,False,False,NS00057334
True,False,False,False,NS00012384
True,False,False,False,NS00009541
True,True,False,False,NS00036569
True,True,True,True,NS00029444
True,True,False,False,NS00038185
True,True,True,False,NS00089347
True,True,True,True,NS00042224
True,True,False,True,NS00063764
True,False,False,False,NS00001272
True,False,False,False,NS00047190
True,True,False,False,NS00011523
True,False,False,False,NS00048953
True,True,True,True,NS00054401
True,True,True,True,NS00002463
True,True,False,False,NS00079915
True,True,False,False,NS00008961
True,False,False,False,NS00059675
True,True,False,True,NS00091377
True,True,True,False,NS00022777
True,True,True,True,NS00098831
True,True,True,True,NS00044314
True,False,False,False,NS00017994
True,True,False,False,NS00004429
True,False,False,False,NS00073440
True,True,False,True,NS00003330
True,True,False,True,NS00066739
True,False,False,False,NS00001327
True,False,False,False,NS00016936
True,False,False,False,NS00024330
True,True,False,True,NS00047113
True,False,False,False,NS00012386
True,False,False,False,NS00103219
True,True,True,True,NS00021506
True,False,False,False,NS00009834
True,False,False,False,NS00010665
True,True,False,False,NS00022518
True,True,False,False,NS00097335
True,False,False,False,NS00097381
True,False,False,False,NS00077235
True,True,False,True,NS00098131
True,False,False,True,NS00063140
True,False,False,False,NS00087817
True,False,False,False,NS00008330
True,True,False,False,NS00005079
True,True,False,False,NS00014867
True,True,True,False,NS00061305
True,True,False,True,NS00057477
True,False,False,False,NS00102406
True,False,False,False,NS00038878
True,True,False,True,NS00002768
True,True,True,True,NS00079617
True,False,False,False,NS00073246
True,True,False,True,NS00012103
True,True,False,False,NS00071254
True,True,False,False,NS00011960
True,True,False,True,NS00021566
True,True,True,True,NS00068080
True,True,False,False,NS00044633
True,True,False,False,NS00063139
True,True,True,True,NS00024733
True,True,False,False,NS00004731
True,False,False,False,NS00061496
True,True,False,False,NS00004166
True,False,False,False,NS00035988
True,False,False,False,NS00093518
True,True,False,False,NS00020367
True,True,False,True,NS00004878
True,True,True,False,NS00051115
True,True,False,False,NS00041509
True,True,True,False,NS00054975
True,False,False,False,NS00041195
True,True,False,False,NS00096856
True,False,False,False,NS00084328
True,True,True,False,NS00064959
True,True,False,True,NS00037039
True,True,False,True,NS00068409
True,False,False,False,NS00075410
True,True,False,True,NS00013685
True,False,False,False,NS00016931
True,True,False,False,NS00054418
True,False,False,False,NS00020905
True,True,False,True,NS00015193
True,True,True,False,NS00055528
True,False,False,False,NS00029007
True,True,False,False,NS00096626
True,True,False,False,NS00072645
True,False,False,False,NS00020044
True,True,True,True,NS00036818
True,True,False,True,NS00070992
True,False,False,False,NS00038164
True,True,False,True,NS00050757
True,True,True,True,NS00103567
True,True,False,False,NS00042832
True,False,False,False,NS00097130
True,False,False,False,NS00051920
True,True,False,True,NS00065476
True,False,False,False,NS00006784
True,True,False,False,NS00038729
True,True,True,True,NS00050143
True,True,False,True,NS00060774
True,True,False,True,NS00088638
True,True,True,True,NS00031942
True,False,False,False,NS00034756
True,False,False,False,NS00017964
True,True,False,True,NS00020426
True,False,False,False,NS00058097
True,True,True,True,NS00058909
True,True,True,True,NS00080659
True,True,True,True,NS00048061
True,True,True,True,NS00008981
True,True,False,True,NS00103476
True,False,False,False,NS00007867
True,False,False,False,NS00055892
True,False,False,False,NS00027599
True,True,True,True,NS00103389
True,True,False,True,NS00012343
True,True,False,True,NS00064467
True,True,False,False,NS00096067
True,True,False,True,NS00077187
True,True,False,True,NS00036145
True,False,False,False,NS00099197
True,True,True,True,NS00046088
True,True,True,True,NS00026901
True,True,False,True,NS00012800
True,True,False,False,NS00059882
True,False,False,False,NS00015463
True,False,False,False,NS00070379
True,False,False,False,NS00036381
True,True,True,True,NS00016086
True,False,False,True,NS00033979
True,True,False,True,NS00032738
True,False,False,False,NS00030547
True,False,False,False,NS00077516
True,False,False,True,NS00013667
True,False,False,False,NS00059110
True,False,False,False,NS00102940
True,False,False,False,NS00045984
True,False,False,False,NS00005040
True,True,True,True,NS00034251
True,True,False,False,NS00084798
True,True,False,True,NS00079002
True,True,True,True,NS00079461
True,False,False,False,NS00010315
True,False,False,False,NS00003094
True,True,True,True,NS00035934
True,True,False,False,NS00080255
True,False,False,False,NS00014908
True,False,False,False,NS00053006
True,False,False,False,NS00064794
True,False,False,False,NS00003123
True,False,False,False,NS00059468
True,False,False,False,NS00012996
True,True,False,True,NS00012110
True,True,True,True,NS00029657
True,True,False,False,NS00092369
True,False,False,False,NS00081480
True,True,True,True,NS00027804
True,True,True,True,NS00030859
True,True,False,False,NS00031148
True,False,False,False,NS00093896
True,True,True,False,NS00028837
True,False,False,False,NS00035568
True,True,True,False,NS00056429
True,True,False,False,NS00021167
True,False,False,False,NS00043193
True,True,False,True,NS00062564
True,False,False,False,NS00010693
True,False,False,False,NS00101981
True,True,False,False,NS00065517
True,False,False,False,NS00076555
True,True,False,True,NS00013176
True,False,False,False,NS00054166
True,False,False,False,NS00069295
True,False,False,False,NS00028938
True,True,False,True,NS00012499
True,False,False,False,NS00024840
True,False,False,False,NS00012959
True,True,True,True,NS00030688
True,True,False,False,NS00066795
True,False,False,False,NS00059976
True,True,True,True,NS00032723
True,True,False,True,NS00043796
True,True,True,False,NS00053129
True,True,False,False,NS00061544
True,False,False,False,NS00041585
True,True,False,False,NS00088992
True,False,False,False,NS00024488
True,False,False,False,NS00102480
True,True,True,True,NS00009993
True,False,False,False,NS00012559
True,True,True,True,NS00073203
True,False,False,False,NS00003686
True,False,False,False,NS00102505
True,True,True,False,NS00027072
True,True,False,True,NS00008596
True,False,False,False,NS00060737
True,True,False,True,NS00052434
True,True,True,True,NS00102608
True,True,False,True,NS00013096
True,False,False,False,NS00093906
True,True,False,False,NS00039585
True,True,False,False,NS00052660
True,True,False,False,NS00010302
True,False,False,False,NS00048774
True,True,False,True,NS00053112
